"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.18195,-0.17528,-0.30604,-0.28572,-0.24879,-0.52318,-0.27639,-0.46144,-0.11584,-0.34643,-0.078272,-0.28192,-0.041048,-0.20857,-0.30998,0,0
0.061088,0.073788,-0.20072,-0.16433,-0.15381,-0.1318,-0.32931,0.00807,0.2272,-0.0092735,0.23353,0.22563,-0.013614,0.055273,-0.29277,0,0
0.017956,-0.022992,-0.21263,-0.21237,0.063212,-0.16408,0.030368,-0.19894,0.080235,0.0062698,0.24435,0.18021,0.00099228,0.05772,-0.10823,0,0
0.044378,0.12837,0.23824,0.033371,0.84559,0.7076,0.54965,0.65891,0.51277,0.28654,0.20387,0.44443,0.92549,0.67917,0.46777,0,0
-0.040104,-0.10702,0.080933,0.13711,0.33908,0.32234,0.54532,0.53997,-0.19168,0.0052834,0.04569,0.088835,0.5586,0.30057,0.33829,0,1
0.10218,0.10311,-0.08296,0.041861,-0.064856,-0.067811,-0.25489,-0.35288,-0.32081,-0.1248,-0.021082,0.24056,-0.42776,-0.37469,-0.14161,0,1
0.13724,0.46473,-0.041071,-0.22238,-0.38613,-0.25616,-0.3358,-0.2727,-0.12713,-0.11312,-0.068817,-0.1201,0.035557,0.29028,0.1567,1,0
-0.45021,-0.51665,-0.28897,-0.46721,-0.32453,-0.30669,-0.40491,-0.029329,-0.17131,-0.36224,-0.43467,-0.15609,-0.42381,-0.3797,-0.9747,0,0
-0.53996,-0.6691,-0.084991,-0.75788,-0.46209,-0.55679,-0.62045,-0.83822,0.049948,-0.52628,-0.36692,0.44575,-0.25064,-0.41328,-1.1195,0,0
-0.31736,-0.28067,0.12827,0.10109,-0.44417,-0.36084,-0.07304,-0.39143,0.22739,0.085451,-0.20666,0.13839,-0.2973,-0.05472,-0.97093,0,0
0.09612,0.00029438,0.17575,-0.023003,0.20083,0.17254,0.04499,0.07655,0.00019623,-0.12619,-0.13292,-0.23588,0.3488,0.31625,0.019867,0,0
0.065415,0.045167,0.061583,-0.021659,-0.13786,-0.20244,-0.20736,-0.10167,-0.094231,-0.36336,-0.035138,-0.65208,-0.49218,-0.47947,-0.89742,0,0
-0.099435,-0.0077397,-0.15764,-0.022701,0.084153,0.1212,-0.58843,0.16471,-0.76191,-0.15901,-0.19443,-0.38593,-0.33911,0.032452,-0.92752,0,0
-0.34875,-0.40619,-0.64911,-0.80307,-0.56071,-0.7869,-0.41941,-0.35465,-0.35519,-0.40946,-0.057814,0.47104,-1.02,-1.067,-2.0743,0,0
0.19136,0.32125,0.87048,0.22185,1.0686,0.68741,0.5446,0.043489,0.65377,0.35617,-0.074279,0.069686,0.63484,0.53378,1.0759,0,0
0.38153,0.58837,0.70489,0.52638,0.75206,0.72811,1.0975,0.94336,0.46998,0.48109,0.2034,-0.085359,0.69575,0.49275,1.0622,0,0
-0.065971,0.073472,-0.22561,-0.31606,-0.23174,-0.14011,-0.31685,-0.12914,-0.41246,-0.25409,-0.32808,0.21139,-0.12564,0.007981,1.1981,0,0
-0.043756,0.22843,0.075807,0.54005,-0.72321,-0.16503,0.24823,0.06615,0.11029,0.52211,0.26559,-0.52604,-0.57259,0.033103,-0.25799,0,0
-0.24488,-0.27427,0.12152,0.29224,0.45067,0.10622,0.53344,0.24276,0.50714,0.33503,0.010899,0.33898,-0.14406,-0.31642,-0.35122,0,0
