"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.63757,0.14459,0.26681,0.30321,-0.35464,0.33668,0.31858,0.47414,-0.30975,0.48016,-0.13844,0.81218,0.22985,0.49915,0.38288,0,0
-0.50606,-0.27291,0.0036763,-0.079499,-0.23327,-0.39013,-0.43215,-0.71439,-0.30334,-0.26461,-0.20081,0.3244,-0.17008,-0.16042,-0.20094,0,0
-0.22753,-0.031531,0.11993,-0.13283,-0.11121,0.16018,0.34435,0.27886,-0.0032362,0.034581,0.056139,0.41646,-0.13148,0.097944,0.36463,0,0
-0.33048,0.14352,0.037701,-0.043105,-0.22918,0.2657,0.27406,0.077718,0.0020275,-0.3586,-0.058174,0.29316,-0.21147,-0.76996,-0.35672,0,0
-0.10205,0.29493,0.12851,0.034664,-0.14343,-0.054506,-0.013193,-0.7511,0.11714,-0.23306,-0.026142,-0.16425,-0.20565,-0.10291,-0.3943,0,1
-0.04228,-0.13501,0.45699,-0.34482,0.32221,0.13073,0.2216,-0.53717,0.48706,-0.31154,-0.025891,0.18437,0.24225,0.074095,0.030847,0,1
0.30856,0.33858,0.19533,-0.11159,0.3356,0.34782,0.30513,-0.011577,0.24033,-0.15637,0.0038185,-0.17232,0.3237,-0.01977,0.33814,1,0
0.2709,0.39303,-0.09759,-0.10157,0.020536,0.13791,0.011392,-0.14413,-0.01144,-0.17582,-0.13026,-0.33729,0.13325,-0.36054,-0.63972,0,0
0.28764,-0.015997,0.021651,-0.061807,-0.26848,-0.36168,0.043091,-0.15343,0.073508,-0.0115,0.21084,-0.073324,-0.0098641,-0.065009,-0.033622,0,0
0.081941,-0.13272,-0.056296,-0.19097,0.37787,-0.1125,-0.25431,-0.42531,-0.038684,-0.072262,0.17041,0.15341,0.31947,0.20271,0.33764,0,0
0.10163,0.284,0.096698,0.036624,0.4293,0.38498,0.57899,0.42023,0.36576,0.045536,-0.053189,-0.54254,0.56029,0.32678,0.052503,0,0
0.096251,-0.060794,-0.016437,-0.26104,0.40477,-0.15333,0.24883,-0.021472,0.25759,-0.097972,0.059872,-0.35727,0.16461,0.17962,0.25302,0,0
-0.055435,-0.22925,0.065593,-0.13805,-0.22587,0.19276,0.18501,0.29084,0.46492,0.22209,0.14565,-0.06156,0.26258,0.2544,0.48841,0,0
-0.10338,-0.29695,0.1097,0.1617,0.45359,0.30925,0.35127,0.54474,0.49832,0.38848,0.11559,-0.3596,0.58108,0.1942,0.52284,0,0
0.34501,0.36332,0.28809,0.27964,0.69654,0.24462,0.24306,0.038563,-0.019273,0.010695,0.11559,-0.1444,0.15214,0.1257,-0.04013,0,0
0.11599,-0.21514,-0.2101,-0.26627,-0.29041,-0.38595,-0.024323,-0.45691,-0.24413,-0.2851,-0.2262,-0.083972,0.087472,-0.46696,-0.2487,0,0
0.5778,0.40533,0.65646,0.46662,1.2736,0.87899,1.2082,0.89099,0.52225,0.83324,0.13466,-0.48321,1.0994,0.90436,1.3391,0,0
0.079199,0.066326,-0.033298,0.08609,-0.66321,-0.51262,-0.17552,0.030454,0.0049976,-0.11645,0.34062,0.015745,0.17119,-0.055733,0.41783,0,0
0.32179,0.35012,0.10283,0.53306,0.017615,0.5423,0.23043,0.35717,0.20142,0.67552,0.20062,-0.43663,0.11122,0.62548,0.20615,0,0
0.060553,0.074979,-0.064525,0.0024729,0.21767,0.25957,-0.13261,-0.047089,-0.16369,0.12156,0.011787,-0.034695,0.21598,0.52671,0.89145,0,0
0.21263,0.14935,0.083947,-0.25968,0.17107,-0.17026,-0.16624,-0.06235,0.34147,-0.10977,0.16512,0.091812,-0.023852,-0.36054,-0.56069,0,0
-0.25849,-0.59942,-0.14895,-0.22746,-0.78586,-1.2248,0.091438,0.40177,-0.14634,0.032375,0.064461,0.43281,-0.33835,0.019821,-0.2665,0,0
0.26346,-0.059887,0.18473,-0.21101,0.011341,-0.20995,-0.03816,-0.010397,0.36133,-0.19102,0.26134,0.16851,-0.060582,-0.39694,-0.60059,0,0
-0.4367,-1.1277,-0.6684,-0.97248,-1.048,-1.0516,-0.96869,-0.9073,-0.4792,-0.9106,-0.11905,0.687,-0.66345,-0.79694,-0.80723,0,0
-0.3277,-0.70496,-0.26099,-0.64588,0.011438,-0.42256,-0.10611,-0.61887,-0.32869,-0.82492,-0.42493,0.50902,-0.3779,-0.90629,-0.78871,0,0
-0.22781,-0.23119,-0.25535,0.30379,-0.1452,0.23246,0.017574,0.77168,-0.27932,0.38316,-0.26573,-0.075008,-0.1487,0.10206,-0.39108,0,0
0.08357,0.048958,-0.14578,0.37767,0.028274,-0.069819,-0.23445,0.26302,-0.50669,-0.065408,-0.1616,0.07038,-0.24483,0.20255,0.24752,0,0
-0.31997,-0.29822,-0.4226,0.1775,-0.35093,-0.2676,-0.50383,0.1743,-0.20333,0.10606,-0.19826,0.098732,-0.54585,-0.18586,-0.33913,0,0
0.038099,0.32261,-0.258,0.37596,-0.22678,0.53042,-0.17397,0.2359,0.044848,0.34465,-0.21519,-0.49724,-0.33834,0.2822,0.25555,0,0
-0.32108,0.07272,-0.52284,0.10534,-0.33594,0.13855,-0.80108,-0.40181,-0.38298,-0.15492,-0.14959,-0.11987,-0.60394,-0.331,-0.19521,0,0
0.20411,0.4872,-0.2396,0.097916,-0.064083,0.61841,0.077268,-0.082185,-0.25313,0.23441,0.035686,-0.085377,-0.15703,0.20825,-0.35583,0,0
-0.21302,-0.11701,-0.39808,0.31588,-0.52983,-0.25787,-0.39641,0.058339,-0.053075,0.27352,0.096199,0.16241,-0.20136,0.12401,-0.066145,0,0
-0.042689,-0.02556,-0.47881,0.35018,0.31714,0.17497,-0.51712,0.25318,-0.61023,0.065785,0.0054922,-0.038902,-0.46675,-0.014184,0.059503,0,0
-0.28262,-0.18599,-1.0085,0.026559,-0.84823,-0.42422,-1.1734,-0.25319,-0.95021,-0.12466,-0.29222,-0.21955,-1.1028,-0.54218,-1.0652,0,0
0.16289,0.35221,0.12264,0.37173,0.056931,-0.037532,-0.20414,0.10365,-0.30856,0.54393,0.034805,0.36275,-0.48553,0.35235,-0.041411,0,1
0.3395,-0.32068,0.50976,0.057495,-0.034213,-0.86838,-0.40868,0.45052,-0.21073,-0.26913,-0.14442,0.21101,-0.68257,-0.18059,-0.63724,0,1
