"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
8.9784e-15,9.1271e-15,1.2249e-14,9.0973e-15,3.5081e-15,1.5757e-15,1.9027e-15,-7.3804e-15,-2.0216e-15,-1.7838e-15,2.973e-17,1.4805e-14,9.6919e-15,9.8406e-15,2.6697e-14,0,0
-1.4293e-14,-1.436e-14,3.5527e-15,-8.8e-15,-1.0881e-14,-8.2054e-15,8.9189e-16,1.6649e-15,-2.7797e-15,-1.0784e-14,-1.2814e-14,-1.4241e-14,5.0838e-15,8.5473e-16,2.3784e-16,0,0
-2.6461e-14,-2.5948e-14,-2.2765e-14,-1.9882e-14,-2.1855e-14,-2.1522e-14,-2.7675e-14,-3.15e-14,-2.373e-14,-2.3847e-14,-2.6831e-14,-1.6279e-14,-2.1109e-14,-1.9367e-14,-5.1008e-15,0,0
5.5763e-15,-2.9278e-15,-7.6011e-16,-4.0374e-15,4.6353e-15,5.3142e-15,-3.8128e-15,3.3099e-15,3.6796e-15,1.2921e-15,-2.1891e-16,-5.1132e-16,-3.9635e-17,8.5294e-16,1.031e-14,0,0
-1.2011e-14,-1.7838e-14,-7.687e-15,-9.5916e-15,-1.586e-14,-9.3231e-15,-2.3143e-15,-6.5144e-15,-7.5904e-16,-1.2988e-14,-1.2156e-14,1.1037e-15,-5.3551e-15,-7.8635e-15,-1.2271e-14,0,1
0.50884,0.75779,0.23364,0.34159,0.12081,0.15279,-0.039105,0.009462,0.10212,0.50333,0.58825,0.36518,0.47702,0.96976,0.70996,0,1
-0.71719,-0.38049,-0.43856,-0.18382,-0.12256,-0.33425,-0.019819,0.53458,-0.50363,-0.26877,-0.84818,-0.085992,-0.9118,-0.9093,-0.76842,1,0
0.23057,0.22557,0.083887,0.28072,0.20586,-0.009722,-0.21818,-0.43136,-0.1501,0.34628,0.62698,0.012277,0.33037,0.58931,0.71896,0,0
-0.01977,0.025481,-0.2401,0.14061,-0.068437,-0.013774,-0.080867,0.20497,-0.2806,0.11418,0.13616,-0.023646,-0.60948,-0.32481,-0.80701,0,0
0.32689,0.42152,0.060865,0.20444,0.60637,0.36392,0.84422,0.82502,0.063062,0.42669,0.34998,-0.051047,0.94283,1.1669,1.2538,0,0
0.038481,0.065947,0.018937,-0.081595,0.50939,0.33529,0.01013,-0.085946,0.13241,0.23412,0.21744,-0.26516,-0.10907,0.0018376,0.10758,0,0
0.34731,0.25235,0.15964,0.15017,0.77344,0.49356,0.087331,-0.12295,0.058439,0.19165,0.37126,0.21595,0.1786,0.41453,0.76746,0,0
-0.13551,-0.12137,-0.33741,-0.1387,0.31325,-0.33779,-0.47215,-0.8703,-0.12171,0.066853,-0.067444,0.13835,-0.24039,-0.30953,-0.24039,0,0
-0.25244,-0.3198,-0.36132,-0.22952,-0.22138,-0.46528,-0.58232,-0.66681,-0.25545,0.092874,0.17751,0.20969,-0.13302,0.13273,0.40044,0,0
