"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.65684,-0.65664,-0.5388,-0.41999,-0.72164,-0.52591,-0.66519,-0.28293,-0.43045,-0.51954,-0.2379,-0.40418,-0.012377,-0.53013,-0.029383,0,0
-0.092735,-0.15436,-0.2607,-0.097931,-0.49087,-0.31392,-0.58895,-0.21868,-0.4305,-0.3528,0.18466,-0.079534,0.22087,0.0671,-0.069078,0,0
0.030707,-0.13056,-0.28846,-0.25624,0.26251,-0.12789,0.1091,0.30553,-0.22348,-0.064694,-0.052268,0.24842,0.20985,0.058623,0.029259,0,0
0.052918,-0.057236,-0.13968,0.034154,-0.27415,-0.032304,-0.14805,-0.18859,0.080311,0.06655,0.032905,0.13743,0.37199,0.31224,0.53197,0,0
-0.040933,0.001509,-0.14544,-0.0073164,0.21013,-0.021658,-0.67427,-0.79021,-0.1449,-0.14435,0.00071087,-0.46355,0.096225,-0.28151,0.14125,0,1
-0.011556,-0.0091304,-0.008863,0.016677,0.18739,0.15529,-0.068086,0.47816,0.036689,-0.090724,-0.20747,-0.29616,0.35177,0.22973,0.86601,0,1
0.12379,0.26377,0.081369,0.059773,0.030636,0.46249,-0.12629,-0.031514,0.17599,0.075613,0.29892,0.068589,-0.11224,0.00087483,0.38796,1,0
-0.15629,-0.04775,0.059449,0.074208,0.00099337,0.5425,0.01472,0.39974,-0.17889,-0.23187,-0.051555,-0.088618,-0.13216,-0.1805,0.2726,0,0
0.01133,-0.043019,0.16247,0.27781,-0.051792,-0.01163,0.11255,0.11518,0.10808,0.19516,0.079253,0.27517,-0.23443,-0.1175,-0.31124,0,0
-0.047417,-0.10507,0.12196,0.27314,0.081277,-0.19871,-0.10191,-0.073642,-0.23153,-0.0061675,0.25282,0.32607,-0.018054,-0.24589,-0.39347,0,0
