"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.42029,0.27077,-0.65635,-0.67676,0.086369,0.16999,-0.45125,-0.33422,-0.74495,-0.64968,-0.22217,-0.9647,-0.6037,-0.40668,0.072441,0,0
-0.20524,0.51596,-0.34459,-0.39396,0.3373,0.55698,0.16353,0.056617,-0.65435,-0.15641,-0.0050691,-0.065674,-0.45206,0.11009,0.64863,0,0
0.16135,0.721,-0.33934,0.04067,0.038733,0.31894,-0.32387,-0.6614,-0.93415,-0.23,-0.19474,0.10949,-0.87393,-0.40231,-0.25694,0,0
0.13195,0.41353,-0.25909,-0.012615,0.14864,-0.10994,-0.25028,-0.67164,-0.12745,0.41402,-0.020062,0.68227,0.042108,-0.006852,0.31931,0,0
-0.17366,0.087714,0.087382,-0.10073,0.0018789,-0.087538,-0.047376,-0.39458,-0.13734,-0.11405,-0.068864,-0.66737,-0.47662,-0.30405,-0.30106,0,1
-0.29078,-0.27353,-0.060972,0.12599,-0.056035,-0.14322,-0.22694,0.54418,0.0056052,0.51804,0.11713,-0.81849,-0.18372,-0.10981,-0.032237,0,1
-0.34692,-0.62229,-0.0021608,0.020645,-0.084159,-0.07914,-0.35586,0.10088,0.095507,0.1849,-0.14186,-1.1504,0.1297,-0.11696,-0.23451,1,0
0.042514,0.12681,0.38609,0.33636,0.41248,0.4251,0.97009,0.83035,0.57081,0.5605,0.31776,0.09773,0.71204,0.5989,0.29288,0,0
0.094948,-0.16946,0.022853,0.13392,-0.20357,-0.096265,-0.46461,0.3249,0.08716,-0.21642,-0.026759,-0.37195,-0.23743,-0.24166,-0.10375,0,0
-0.19586,-0.20852,-0.51243,-0.27628,-0.063005,-0.0035781,0.57774,0.32408,-0.44271,-0.19714,0.19838,-0.041828,0.39186,0.52985,0.15657,0,0
0.061159,-0.017192,-0.061922,0.2749,0.20533,0.11835,-0.45719,-0.28465,-0.033511,-0.091944,-0.043053,0.61457,-0.073025,-0.16804,-0.55842,0,0
-0.02119,-0.05932,0.12739,0.019296,-0.48016,-0.31618,-0.83643,-0.19807,-0.075361,0.13758,-0.054692,0.1294,-0.1721,0.084184,0.17349,0,0
-0.12278,-0.10776,-0.097213,-0.31924,0.21556,0.097766,-0.44101,-0.19603,-0.14902,-0.70309,0.20396,0.34439,0.061751,0.0031977,0.14113,0,0
-0.086255,-0.49502,0.15117,0.198,-0.34092,-0.57146,0.30079,0.48126,0.40919,0.16974,0.00079063,0.63793,0.014978,0.14474,0.10442,0,0
-0.31093,-0.80084,-0.30529,-0.56443,-0.53618,-0.85543,-0.64083,-0.074396,-0.27369,-0.56871,-0.13628,-0.76561,0.021372,-0.22262,-0.087765,0,0
-0.12664,-0.027168,-0.14994,-0.35167,-0.097744,-0.30862,-0.017657,-0.255,0.35798,-0.36656,0.017305,-0.18329,0.32225,0.2805,-0.053029,0,0
-0.025428,-0.031887,-0.0094669,0.025673,-0.035612,0.25428,0.29676,0.80705,0.27345,-0.11236,-0.35899,-0.22117,0.19204,0.15013,0.31638,0,0
0.29718,-0.16173,-0.32175,-0.25188,-0.035636,-0.23914,-0.10722,-0.13352,-0.36531,-0.41547,-0.25859,0.17342,-0.033591,-0.035888,-0.27289,0,0
0.10362,-0.08135,-0.28396,-0.23817,0.12708,0.053204,-1.4527,-1.1488,-0.16721,-0.17232,-0.17088,-0.021002,-0.28665,-0.19212,-0.84634,0,0
0.0019858,-0.050972,0.096551,0.24683,0.22973,0.063148,0.38703,0.19447,0.2063,0.68819,-0.24948,0.24788,-0.0029762,0.050744,0.15461,0,0
-0.13647,-0.34976,-0.15718,-0.077962,-0.78385,-0.75359,-0.15768,-0.062849,-0.45687,-0.53826,0.058201,0.23524,-0.33377,0.042159,-0.0073207,0,0
0.068438,-0.0092572,0.063761,0.035502,-0.23758,-0.016745,0.084234,-0.47588,0.23077,-0.083957,-0.21586,0.42042,0.56516,0.05358,-0.082503,0,0
0.17519,-0.13802,0.56335,0.0092289,0.35368,0.40238,0.45526,0.32188,0.68174,-0.07747,-0.2572,0.34323,0.32646,0.40894,0.083614,0,0
-0.024735,-0.13362,0.068215,0.06035,-0.14289,-0.20188,-0.20084,-1.0077,0.18537,0.19828,-0.15986,0.73723,0.45821,0.15134,0.30399,0,0
-0.11433,-0.56282,0.15182,-0.56874,-0.51245,-0.00066541,0.4529,0.023442,0.32399,-0.7935,-0.10634,-0.42784,0.46329,-0.39364,0.19649,0,0
0.15429,-0.20015,0.71386,0.59447,0.091088,-0.22941,1.3631,0.30452,0.29646,0.33871,-0.17816,0.85818,0.22316,-0.27727,-0.45088,0,0
0.57853,0.17529,0.93121,0.54838,0.52632,0.32189,1.3826,0.83024,0.83678,0.72557,0.33805,0.50966,0.35637,0.061994,0.21279,0,0
0.048194,0.10173,-0.08799,-0.26967,0.32971,0.35887,0.11441,-0.12401,0.37031,-0.089774,0.43416,0.095713,0.10816,-0.26724,0.013703,0,0
0.68331,0.75793,0.75714,0.42986,0.55906,0.63294,0.70577,0.063059,0.68913,0.08757,0.36384,-0.072485,0.18342,-0.01442,0.15617,0,0
