"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.50924,-0.30561,-0.33005,-0.535,-0.7159,-0.3931,-0.58681,-0.56892,-0.11664,-0.52226,-0.32822,-0.13963,-0.70921,-1.0977,-0.47037,0,0
-0.040703,0.090004,-0.34668,-0.58966,0.033231,-0.14898,-0.24787,-0.49664,-0.21788,-0.66652,-0.023323,-0.034358,-0.15186,-0.21054,0.71275,0,0
0.16813,0.062452,-0.027678,-0.35708,0.21034,0.090336,-0.36373,-0.51215,0.030546,-0.62942,0.079597,0.0157,-0.1951,-0.51553,-0.013472,0,0
-0.22624,-0.27455,-0.38612,-0.48863,0.22186,-0.21052,-0.13968,-0.56553,-0.21618,-0.42787,-0.22999,0.27207,-0.033005,-0.3707,-0.12642,0,0
0.1153,0.086494,-0.0034868,0.02815,0.074431,0.24872,0.32706,-0.749,-0.073337,-0.38127,-0.1344,-0.33105,0.39341,-0.16628,-0.19945,0,1
-0.15417,-0.016522,0.048709,-0.027892,-0.44045,-0.17449,-0.15423,-0.35264,-0.095418,-0.11049,0.021023,-0.14579,-0.29999,-0.31306,0.2068,0,1
0.041384,0.11109,0.20903,-0.37651,0.024133,-0.00062503,0.29611,-0.64635,0.5174,-0.5649,0.13087,0.21065,0.15889,-0.51216,0.31427,1,0
0.046257,-0.018939,0.6462,0.028389,0.19022,-0.2623,0.70395,0.25482,0.63736,0.19116,0.36958,0.11801,0.56256,0.1425,0.68573,0,0
0.17635,0.23544,0.45846,0.038238,-0.040027,0.089605,0.2817,0.014225,0.37375,-0.01964,0.40278,0.29278,-0.14626,0.01581,-0.098244,0,0
0.20822,0.42648,0.090167,0.37788,0.061424,0.4604,0.28154,0.23609,-0.17344,0.32841,0.12793,0.44617,0.39515,0.72577,0.44705,0,0
0.12265,0.24496,-0.28134,0.023895,-0.23127,-0.15283,-0.0062564,-0.1926,0.0314,0.21201,0.1366,-0.54737,0.54861,0.58129,-0.63266,0,0
0.26838,0.34414,0.19428,0.10265,-0.15449,0.2052,0.11285,0.088088,0.015633,0.15849,0.068608,-0.098017,0.14482,0.29504,-0.048271,0,0
0.15441,0.24353,-0.21943,0.079143,-0.43618,-0.061986,0.15393,0.052961,-0.3446,0.2458,0.34559,-0.14528,-0.11782,0.16522,-0.19284,0,0
-0.42211,-0.20371,0.031387,0.12589,-0.16409,0.015618,-0.69286,0.052379,-0.31102,0.21619,-0.28031,0.47938,0.14996,0.68893,0.38623,0,0
-7.4622e-15,-1.3378e-14,-4.348e-15,-6.1838e-15,-2.7322e-14,-2.1911e-14,-2.1227e-14,-2.307e-14,-1.0019e-14,-1.213e-14,-5.5892e-15,1.9622e-15,-2.0454e-14,-3.1989e-14,-1.4857e-14,0,0
-0.311,0.12006,-0.083912,0.98564,-0.40356,0.50378,-0.16838,1.0936,-0.36843,1.2353,0.24875,0.29614,-1.2458,0.58386,-0.1283,0,0
-1.1892e-16,-2.5865e-15,-3.772e-15,-4.6973e-15,3.6094e-14,9.8108e-15,1.647e-14,1.9265e-14,2.2595e-15,-3.6865e-15,-2.7351e-15,6.3176e-15,5.6933e-15,-4.5189e-15,-6.6818e-15,0,0
0.42386,0.34465,0.064771,0.99038,-0.0019326,0.48689,-0.2731,1.2172,0.10462,1.2399,0.70292,-0.1607,0.21887,1.2772,0.11396,0,0
-0.48035,-0.56762,-0.41691,-0.28495,-0.12585,-0.42663,0.42106,0.71051,0.034494,-0.087311,-0.097329,0.31818,0.86443,0.39678,0.53557,0,0
0.075438,-0.16019,-0.16335,0.19836,0.11439,0.091312,-0.39823,0.61762,-0.35821,0.47541,0.12351,-0.40303,-0.097205,0.043789,-0.64014,0,0
-0.24332,-0.49787,-0.33425,-0.31499,-0.031357,-0.25079,0.050759,0.25573,-0.076949,-0.25555,-0.52504,0.054119,0.13847,-0.42516,-0.41832,0,0
0.43316,0.22679,-0.2159,-0.080079,0.34428,-0.47931,-0.93491,-0.5478,-0.26113,-0.37045,0.38036,0.046602,-0.41564,-0.28694,-0.24627,0,0
0.10384,-0.25641,0.3075,-0.41355,0.49467,-0.59802,1.0725,0.075777,0.80444,-0.68941,-0.15003,-0.0395,1.4631,-0.34819,-0.33212,0,0
0.41316,0.30202,0.24376,1.2322,-0.14543,0.62484,-2.3179,0.53184,-0.26909,1.5804,-0.73696,-0.90213,-2.781,0.15781,-1.5676,0,0
-8.8795e-15,-7.0304e-15,-1.4726e-14,-1.1622e-14,1.9546e-14,-3.8052e-15,-9.9425e-15,-3.0948e-15,-1.0961e-14,-1.5034e-14,-5.0529e-15,-1.7807e-15,-2.9199e-15,-8.2204e-15,3.3617e-15,0,0
-4.3979e-16,-6.2634e-15,-4.1457e-15,-8.0933e-15,-1.8755e-14,-8.1333e-15,-1.4161e-14,-2.2098e-14,-4.7227e-15,-4.5383e-15,-9.2313e-15,-1.0913e-14,2.5516e-15,-1.1597e-14,-2.3259e-15,0,0
-5.0541e-15,-7.0757e-15,-2.1405e-15,5.4108e-15,-1.3557e-14,-8.9189e-16,5.946e-16,1.5073e-14,-1.7838e-15,2.0662e-15,-1.7838e-16,-7.2764e-15,-5.6487e-15,9.8108e-15,-5.0541e-16,0,0
