"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.49345,-0.37738,-0.40685,-0.57983,-0.54363,-0.61063,0.17317,-0.1503,-0.53383,-0.70652,-0.14752,-0.21606,0.17485,-0.52452,-0.29408,0,0
-0.6188,-0.49912,-0.20278,-0.66709,0.019476,-0.28989,-0.64202,-0.91905,-0.35277,-0.20672,-0.63904,-0.86557,-0.83148,-0.28534,0.078965,0,0
-0.093536,-0.29535,-0.051081,-0.053482,-0.11426,-0.019634,-0.42929,-0.731,-0.35986,0.020662,-0.19014,-0.27242,-0.6571,-0.15191,0.51004,0,0
0.26629,0.025654,0.63129,0.090029,0.73808,0.41251,0.38527,-0.48367,0.39371,0.13791,0.49776,-0.39474,0.13255,0.066508,-0.13166,0,0
0.44515,0.31457,0.45442,0.49225,0.4901,0.45814,0.10819,-0.27839,0.68869,0.82567,0.5479,0.46338,0.55442,0.093976,0.60668,0,1
1.0537,1.1398,0.6189,1.1237,1.0754,1.2971,0.13918,0.26012,0.65416,1.012,0.81994,-0.016933,0.2147,0.34225,0.42886,0,1
0.01574,0.22063,0.55614,0.37251,0.11931,0.096273,0.73168,0.86756,0.29282,0.32978,-0.27223,0.54367,-0.17845,-0.36299,0.067752,1,0
0.55493,0.59783,0.45165,0.68657,0.91145,0.5827,0.64299,0.59008,0.51087,0.60567,0.41439,0.10007,0.50632,0.62456,0.56618,0,0
0.543,0.61137,0.30288,0.16361,0.83786,0.53304,0.75752,0.95681,0.20315,0.08413,0.36266,0.67011,0.47333,0.26723,0.46045,0,0
0.061083,0.18329,-0.099456,0.12783,0.23241,0.28581,-0.30554,-0.57675,-0.18038,-0.12547,-0.20925,-0.12381,-0.32965,0.13753,0.089179,0,0
-0.25804,-0.31285,0.15851,-0.17936,-0.40076,-0.12763,0.19061,0.15378,0.1632,-0.18465,-0.46837,0.33811,-0.0044758,-0.016761,-0.26854,0,0
0.042511,-0.024435,0.24673,0.34273,-0.034882,0.38984,-0.076716,0.22696,0.093038,0.14525,0.22262,0.23442,0.79623,0.70108,0.81276,0,0
