"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.69398,-0.73874,-0.31976,-0.15457,-0.72098,-0.77947,0.090591,0.61377,-0.39497,-0.42657,-0.28614,0.2787,-0.9258,-0.93476,-0.66749,0,0
-0.22371,-0.43201,-0.077236,-0.097185,0.261,0.021042,0.37596,0.71226,-0.26338,-0.068346,0.11957,0.39105,-0.28445,0.17752,0.54435,0,0
-0.034435,0.12375,0.095962,0.16338,0.21145,0.27875,0.29391,0.046516,-0.25399,0.017572,-0.049324,-0.17588,-0.18121,-0.25155,0.17648,0,0
-0.056723,0.10495,-0.4673,-0.41182,-0.077714,0.35177,0.27184,0.47364,-0.17265,-0.2116,0.064825,0.23683,-0.12903,-0.11512,0.14171,0,0
-0.011931,0.17743,-0.44907,-0.2161,-0.086097,0.22905,-0.49872,-0.48807,-0.25863,-0.47161,-0.15397,-0.12201,-0.020087,-0.38919,0.041667,0,1
-0.14075,0.047125,0.0065958,0.28342,-0.044681,-0.010915,-0.34084,-0.30284,0.16388,0.14778,-0.16767,0.14993,-0.084211,-0.24416,0.4436,0,1
-0.052562,0.022041,-0.015811,0.23964,-0.44994,-0.097281,0.027149,0.23248,0.37628,0.5755,0.013436,0.85328,0.20953,0.11583,0.47651,1,0
-0.050958,-0.394,0.24542,0.34869,-0.0057743,-0.40669,0.66772,0.99705,0.23867,0.29416,0.14167,0.41975,0.49299,0.58642,0.55268,0,0
0.26873,0.18879,0.16997,0.20965,0.022111,-0.19257,-0.41665,-0.37802,0.07649,0.011709,0.083455,-0.31656,-0.1079,0.083162,-0.28695,0,0
-0.25704,-0.24103,-0.010815,-0.15624,-0.29659,-0.075875,-0.081799,-0.59642,-0.034607,-0.17007,-0.15863,0.26399,-0.20077,-0.35086,-0.48451,0,0
0.14564,0.00012726,-0.044899,-0.14276,0.11221,0.021964,-0.14606,-0.50361,-0.011002,-0.04751,0.19874,-0.029374,0.2116,-0.06679,-0.44424,0,0
0.085155,0.28364,-0.09843,0.25016,0.051329,0.10305,-0.34792,-0.60782,0.075703,0.25318,-0.12106,-0.48988,0.08405,0.098401,-0.034597,0,0
0.13368,0.14701,0.24137,0.3345,0.43946,-0.13325,0.32827,0.44707,0.17983,0.28647,0.27676,-0.19978,0.40967,0.20951,-0.13038,0,0
0.21177,-0.014628,0.027375,-0.15799,0.1534,0.20069,-0.51478,-0.54679,-0.11807,-0.18007,-0.18373,-0.35388,-0.12347,-0.21477,-0.60918,0,0
0.21508,0.29296,-0.26969,-0.43893,0.54385,0.58527,-0.45054,-0.20641,-0.061782,-0.24579,0.22543,-0.50346,0.42267,0.27443,0.46359,0,0
0.079859,0.23955,0.13659,-0.096532,0.1392,0.10689,-0.043183,-0.49867,0.1325,0.087154,0.25934,-0.28747,-0.03512,0.058182,-0.1101,0,0
0.28445,0.2701,0.17452,-0.28845,0.4368,0.39359,-0.36659,-0.17302,0.13146,-0.23577,0.19072,0.10947,-0.097424,-0.34992,-0.082803,0,0
0.082725,0.1583,0.20075,0.061067,-0.25745,-0.49682,-0.2066,0.10734,0.038259,0.009861,0.058258,-0.10685,-0.32599,-0.25256,-0.53004,0,0
0.27978,0.53707,0.28962,0.44537,0.094197,0.18569,0.40863,0.15073,0.31464,0.23899,0.066365,-0.045975,0.19983,0.48041,-0.010485,0,0
-0.19324,-0.13697,0.15856,0.090115,-0.17778,-0.080039,0.26075,0.55381,0.20702,0.0049311,-0.19088,-0.23979,0.013867,-0.25491,-0.4424,0,0
-0.26621,-0.41268,-0.22655,-0.20054,-0.84354,-0.83211,-0.2316,0.36045,-0.048637,0.071846,0.083607,0.047471,-0.061127,0.27877,0.12765,0,0
0.24834,0.43506,0.28819,0.31427,-0.30083,-0.25643,0.10423,-0.25217,0.085803,0.26345,-0.17027,-0.36727,-0.10398,0.049466,0.12251,0,0
-0.12168,-0.12287,0.19633,-0.1629,0.030302,-0.0076608,0.59405,-0.036902,0.030016,-0.043412,-0.067863,-0.24048,0.028712,0.27951,0.097569,0,0
-0.33798,-0.3092,-0.17903,0.077147,-0.12883,-0.030077,0.098523,0.13005,-0.1176,0.23686,-0.29186,0.071215,0.19312,0.34175,0.2716,0,0
-0.058803,-0.085811,0.36343,0.2413,0.22828,-0.14391,0.30163,0.18654,0.2454,0.34298,0.087334,0.47144,0.17425,0.26973,0.18748,0,0
-0.016543,0.072066,-0.059535,-0.4607,0.3953,0.30125,0.096497,0.024383,-0.019481,-0.28896,0.1225,-0.11694,-0.17645,-0.24076,0.12419,0,0
0.17493,0.014407,0.034404,-0.14246,0.5167,0.52368,-0.050816,-0.25402,-0.075822,-0.39145,-0.080054,-0.56869,0.048012,-0.16657,0.064721,0,0
0.32919,-0.0078441,-0.17676,-0.43707,0.59677,0.31487,-0.40076,-0.73489,0.0047376,-0.39397,-0.0029935,0.084537,0.044282,-0.10254,-0.34292,0,0
0.071274,-0.10763,-0.25543,-0.41814,-0.21393,-0.25394,-0.51601,-0.31539,-0.032635,-0.078286,-0.022471,-0.60565,-0.015,-0.0869,-0.32697,0,0
0.32021,0.38844,0.047064,0.17434,0.31979,0.52694,0.2881,0.11242,-0.088684,-0.28169,-0.21097,-0.48822,0.2687,0.18306,0.078987,0,0
-0.093867,-0.10067,0.27798,0.027161,-0.15737,-0.25206,0.4453,0.42424,0.15245,0.32719,-0.083155,1.2074,0.20129,0.53671,0.093904,0,0
0.16422,0.0093632,0.22254,0.32234,-0.42752,-0.71396,0.19898,0.22714,0.10851,0.36832,0.02853,-0.15832,0.031329,0.35754,-0.074835,0,0
0.068184,0.091589,0.20025,0.41492,-0.1523,0.10584,0.38794,0.18933,0.007801,0.21022,0.18623,-0.035044,0.17817,0.21233,0.41926,0,0
-0.20138,-0.07239,0.0059364,0.51912,-0.40685,-0.34287,-0.01874,0.19015,-0.11454,0.41655,0.13375,1.1801,-0.027879,-0.0087889,-0.079044,0,0
0.021763,-0.14551,-0.23777,-0.32545,-0.03109,0.014221,-0.16174,-0.52522,-0.34816,-0.44598,-0.06472,0.1974,-0.11077,0.063741,-0.36204,0,1
0.32162,0.40762,-0.025938,0.31251,0.58505,0.54395,0.18156,0.29716,-0.22489,0.27238,0.44808,0.097211,0.38925,0.51963,0.50884,0,1
-0.81022,-1.0552,-0.27829,-0.28225,0.12451,0.13675,0.42833,0.1664,-0.40583,-0.26094,-0.5694,0.70594,-0.01141,0.068531,0.016271,1,0
0.24476,0.013385,-0.0018896,0.17787,0.29013,0.2392,-0.19095,-0.33296,-0.053915,-0.179,-0.29776,-0.1712,-0.08915,-0.19137,-0.49292,0,0
0.033984,-0.053005,0.23505,0.024057,0.081012,0.56789,-0.17297,-0.020907,0.33721,-0.085021,0.12124,-0.45398,0.12652,0.1258,-0.3075,0,0
0.10478,0.26057,-0.056299,-0.027138,-0.11266,0.57999,-0.11363,-0.010182,0.027859,-0.032537,0.13877,-0.18448,-0.1948,-0.10612,0.079916,0,0
-0.033292,-0.040542,0.017363,-0.65533,-0.51052,0.031375,0.018457,0.30813,0.020867,-0.22247,-0.066673,-0.26451,0.41683,0.55565,0.51953,0,0
-0.1935,-0.12698,-0.11786,-0.090005,-0.15456,-0.36023,-0.57755,-0.79663,-0.12987,0.23035,-0.27052,-0.20855,-0.20522,-0.19225,0.00089187,0,0
0.21037,0.19853,0.33239,0.15773,-0.077033,0.066229,0.27896,0.41512,0.27849,0.058126,0.46796,0.35033,0.18132,0.090911,0.21703,0,1
0.22373,0.35638,-0.26118,0.10117,0.09667,0.18248,-0.63971,-1.08,-0.37476,-0.20166,-0.093583,0.2793,-0.1814,-0.3754,0.13005,0,1
0.25177,0.11245,0.093503,-0.11411,0.54321,0.53799,-0.19712,-0.47862,0.14198,-0.31122,0.023122,-0.16131,0.20308,0.0022327,-0.10481,1,0
0.26502,0.25526,0.037347,-0.137,0.14012,-0.48205,-0.021366,0.26145,0.15053,0.13792,-0.14012,-0.4497,0.27414,0.12087,0.83934,0,0
0.25862,0.19998,0.15835,0.21165,0.075335,0.29797,0.22057,0.5696,0.18778,0.2652,-0.19856,-0.25031,0.096795,0.23335,0.3052,0,0
-0.31539,-0.33903,-0.13258,-0.032784,-0.2595,-0.49141,0.22155,-0.18416,-0.29228,-0.097464,-0.11283,0.48984,-0.25782,-0.29265,-0.21897,0,0
-0.22328,-0.22956,-0.13999,0.17243,-0.37621,-0.40912,0.12261,0.50381,-0.053821,0.19518,0.11171,0.15581,0.14393,0.37002,0.56054,0,0
-0.024708,-0.0049666,-0.0089901,0.06662,-0.36841,-0.39711,-0.018925,0.10539,-0.0046453,0.3773,0.43443,-0.45998,-0.23697,-0.064278,-0.013081,0,0
-0.58972,-0.64773,-0.40107,-0.30341,-0.50077,-0.45653,-0.11311,0.20151,-0.13714,-0.15324,-0.14176,0.22498,-0.31831,-0.34084,-0.57443,0,0
0.014005,-0.064137,-0.12048,-0.4734,0.31025,0.25992,0.23739,0.46808,0.03806,-0.34545,0.029429,-0.42875,0.11344,0.12807,0.7512,0,0
-0.25356,-0.31021,-0.33783,0.21038,-0.5237,-0.30133,0.24967,0.76831,-0.062688,0.4934,0.13955,0.10718,-0.25191,-0.57997,-0.5086,0,0
0.11562,0.031225,-0.10419,-0.22189,0.081991,-0.080315,-0.32505,-0.30771,-0.1218,-0.2816,-0.16572,0.14738,-0.38391,-0.6605,-0.50927,0,0
0.30694,0.13531,0.17161,-0.14671,0.47346,0.24761,0.090279,-0.062174,0.18228,-0.33789,-0.0087046,-0.78055,-0.24078,-0.31342,-0.12586,0,0
