"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.093676,-0.49838,-0.25998,-0.25543,-0.031936,-0.10915,-0.3456,-0.10303,-0.2175,-0.58007,-0.12514,-0.39855,-0.45508,-0.16186,0.48652,0,0
-0.10335,-0.025457,-0.15284,0.1496,-0.35391,0.21847,-0.027545,0.6277,-0.26684,-0.057147,-0.078465,-0.035136,-0.17825,-0.10236,0.24535,0,0
0.43997,0.45007,0.10813,0.060347,0.28981,0.6755,-0.098237,0.13923,0.21333,0.075904,0.19523,-0.023444,0.35834,0.37904,0.5126,0,0
0.20422,0.37342,0.11641,0.24697,0.37152,0.24631,0.33778,0.22375,0.085854,0.068327,-0.15166,0.15883,-0.0015545,0.35831,0.2548,0,0
-0.087125,-0.17384,-0.45091,-0.32601,-0.13709,-0.22597,-0.09184,0.19076,-0.38499,-0.22986,-0.20279,0.14519,0.056095,-0.23194,-0.12465,0,1
-0.179,-0.14102,-0.12322,-0.38674,0.14299,0.12639,0.12372,0.26516,0.45298,0.11286,-0.060876,-0.34685,0.3104,0.38121,0.32444,0,1
-0.16249,-0.25076,-0.34603,-0.25251,-0.014963,0.10247,-0.22835,-0.37549,-0.27509,-0.32176,-0.29035,0.20154,0.15769,0.077516,-0.18494,1,0
-0.15415,-0.46238,-0.08137,-0.12418,-0.34878,-0.31447,-0.0018225,-0.36411,-0.15844,-0.29228,-0.29248,0.011105,-0.15182,-0.35738,-0.76966,0,0
0.2148,0.28346,0.45566,0.18174,-0.04051,0.075796,0.32542,-0.048933,0.35309,0.1863,0.28652,0.49473,0.39215,0.07051,0.062326,0,0
0.09945,-0.27227,-0.0058303,-0.10568,0.019762,0.075245,-0.046779,-0.20717,0.1484,0.11289,-0.074007,-0.16133,0.45174,0.46479,0.14351,0,0
0.11727,-0.10265,0.18712,-0.027359,0.0090973,0.045311,-0.35659,-0.13377,-0.056831,-0.21739,-0.20754,-0.050946,-0.32568,-0.13447,-0.36825,0,0
0.35617,0.24716,0.16933,0.079182,0.20368,0.21987,0.48961,0.09532,0.19744,-0.0097794,0.15766,-0.50925,0.45345,0.29289,0.057774,0,0
-0.030328,0.086457,0.080399,-0.18203,-0.08619,0.23648,0.042952,-0.24346,0.27845,0.063969,0.13232,0.0053081,0.061145,0.10254,-0.17698,0,0
0.30819,0.18831,-0.0091441,0.12508,0.15316,0.076049,-0.53074,-0.29064,-0.1001,-0.20213,0.021328,-0.31227,-0.16269,-0.001333,-0.21377,0,0
-0.22465,-0.10744,-0.3969,-0.28575,-0.30193,-0.28246,-0.69139,-0.44329,-0.38911,-0.13058,-0.15265,-0.31248,-0.26423,-0.31253,-0.4072,0,0
-0.021431,0.044604,-0.14116,-0.26838,0.1913,0.025767,0.24733,0.058875,0.58344,0.33813,0.32762,-0.018795,0.82753,0.55066,0.73814,0,0
-0.21624,-0.1915,-0.38145,-0.43348,-0.42525,-0.23263,-0.5267,-0.47715,-0.20336,-0.20359,-0.54348,-0.23541,-0.47156,-0.49262,-0.68038,0,0
-0.12952,-0.12268,0.21632,0.11871,0.30945,0.061664,0.4648,0.1128,0.16823,0.30443,0.090323,0.6179,0.14892,0.11601,-0.48232,0,0
0.25952,0.24503,0.42069,0.4618,-0.23131,-0.060135,0.33383,0.216,0.25978,0.46011,0.82481,0.97119,-0.14524,0.22341,-0.41943,0,0
0.51758,0.10693,0.077244,-0.064432,0.48979,0.052556,-0.11421,-0.069416,-0.2049,-0.29385,0.17515,-1.145,0.0793,0.36321,-0.015835,0,0
-0.24312,-0.25951,-0.39663,-0.47902,-0.54977,-0.80526,-0.33321,-0.46732,-0.47122,-0.46022,-0.34413,0.21643,-1.0264,-1.4976,-2.0977,0,0
-0.45508,-0.16547,-0.23143,0.11866,-0.42548,-0.50356,-0.15045,-0.21206,-0.31953,0.034903,-0.088576,0.062308,-0.58507,-0.96684,-0.27034,0,0
