"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.48448,-0.37931,-0.68828,-0.53502,0.11389,0.17079,-0.62484,-0.2997,-0.94788,-0.51243,-0.22568,-0.15315,-0.15036,0.19992,2.1764,0,0
0.59761,0.70697,0.81347,0.59603,0.68638,1.0704,0.683,0.82975,0.26985,0.2692,0.6002,0.42457,0.99456,1.1886,1.7813,0,0
-0.46334,-0.51436,0.03272,-0.18835,-0.54669,-0.52642,-0.19088,0.027702,-0.03119,-0.098186,-0.30366,0.38867,0.23097,-0.092713,-0.023001,0,0
0.086289,-0.12401,0.47768,-0.005939,0.5372,0.10035,0.44459,0.23667,0.33264,0.097042,0.041355,0.19161,0.10097,0.29503,0.61555,0,0
0.13413,0.004733,0.19662,0.2807,0.25819,0.17047,0.22633,0.17051,-0.3478,0.075142,0.11984,0.65015,0.30493,0.49493,1.787,0,1
0.34075,0.39614,-0.084936,-0.0036974,0.41506,0.38042,0.30444,0.17136,-0.28464,0.19316,0.37503,0.30069,0.63026,0.94269,1.3696,0,1
0.22338,0.17244,-0.27295,0.58313,0.26447,0.60869,-0.21354,1.1995,-0.23047,0.79936,0.42663,-0.092825,0.079489,1.5313,1.6734,1,0
0.049324,-0.42237,-0.13792,0.10069,-0.4375,-0.20861,-1.2341,0.078699,-0.417,0.218,0.043582,-0.46213,-0.021912,0.17205,0.5448,0,0
-0.61075,-0.36218,-1.3927,-0.27161,-0.82997,-1.1204,-1.1421,-0.5158,-2.1298,-0.15826,-0.34509,0.63769,-1.3502,-1.0738,-1.5513,0,0
-9.6622e-16,-7.6703e-15,2.7351e-15,-1.3007e-15,-5.2324e-15,-4.9054e-15,-8.3244e-16,-8.0271e-15,-1.546e-15,-1.0688e-14,-3.6716e-15,1.1892e-15,2.2e-15,-1.6084e-14,-1.7124e-14,0,0
0.47242,0.29884,0.26554,0.18974,0.083053,0.16729,0.011844,-0.15551,0.40896,0.053498,0.70807,-0.065531,-0.090278,-0.38843,-0.78051,0,0
0.16392,0.31913,0.37208,0.13439,0.78128,1.1447,0.39393,0.65263,0.76046,0.014659,0.27991,-0.27979,-0.029415,0.7771,1.1339,0,0
-0.30378,-0.81214,-0.41385,-0.55978,0.35248,0.063785,-0.3672,-0.098085,0.38117,-0.52822,-0.76886,-1.2052,-0.17303,-0.38639,-0.3128,0,0
0.30087,-0.041017,0.83921,-0.024507,-0.33099,-0.24192,0.34757,-0.088258,0.91126,-0.057975,-0.020966,0.13775,0.095133,-0.908,-1.3305,0,0
-0.3215,-0.28659,0.1167,-0.326,-0.30191,-0.36891,0.65208,-0.064576,0.31326,-0.46974,-0.42181,-0.59434,0.20524,-0.40397,-1.2379,0,0
0.14351,-0.13833,0.20552,-0.14189,-0.46207,-0.49752,0.18135,-0.92495,0.10127,-0.044855,-0.0031465,-0.27774,0.2756,-0.50562,-1.2473,0,0
-0.66345,-0.61099,-0.45805,-1.0449,-0.46691,-0.84017,0.028847,-0.6473,-0.039195,-0.83663,-0.99299,-0.59633,-0.096287,-1.21,-1.8554,0,0
0.6719,0.36994,0.51652,0.36757,0.35655,0.067114,0.24189,0.37536,0.55589,0.13988,0.2255,-0.2004,0.44951,0.3986,-0.88698,0,0
-0.33507,-0.45339,-0.74266,-0.87234,-1.3134,-1.1649,-0.5095,-0.86711,-0.75933,-0.9373,-0.82783,-1.0652,-0.72329,-1.3091,-2.9536,0,0
-0.12161,-0.063678,-0.086624,-0.28413,-0.55565,-0.60527,-0.60629,-0.36597,0.51658,-0.19375,-0.036463,-0.42708,1.1685,-0.43241,-0.83819,0,0
-0.30748,-0.31387,-0.38152,-0.34754,-0.77255,-0.70845,-0.40303,-0.34195,0.26083,0.13208,-0.10958,-0.46021,-0.17825,-0.15744,-1.3369,0,0
-0.67821,-0.81116,0.055119,-0.1296,-0.41643,-0.80156,0.12667,-0.47249,0.12945,-0.22193,-0.49652,0.065888,0.010839,-1.7495,-2.1256,0,0
-0.61191,-0.57861,-0.51214,-0.0018344,-0.49239,-0.047756,-0.66214,0.0038136,-0.74585,0.11553,-0.45819,-0.25059,-0.50959,0.3219,0.9961,0,0
0.27956,0.50388,0.1983,0.41451,0.90248,0.53757,0.84224,1.0923,0.36798,0.37552,-0.068299,0.26331,0.0093521,0.071769,-0.15744,0,0
-0.3649,-0.075898,-0.33897,0.26229,0.047193,0.025571,0.34784,0.23752,-0.26103,0.41316,0.037948,0.65475,-0.31578,-0.24098,-0.84926,0,0
0.5261,1.0821,0.976,0.96178,0.47403,0.21755,1.043,0.36561,0.72729,1.0316,0.77111,0.50938,0.7422,1.2185,1.5579,0,0
0.0047203,0.16605,-0.036455,-0.30937,0.15587,0.13413,-0.17803,-0.84374,-0.030149,-0.19079,0.29123,0.55488,-0.5612,0.12397,0.64227,0,0
0.022739,0.61746,0.32247,0.34527,0.66435,0.72149,0.36698,0.091868,0.094848,0.073345,-0.14762,-0.34364,-0.58237,-0.085393,0.8297,0,0
0.12792,0.014324,0.47729,0.33605,0.48456,0.3102,0.84655,0.27165,0.20971,0.11331,0.08316,0.96218,0.36174,1.2406,1.4373,0,0
0.19477,0.3221,-0.031066,0.045261,0.24151,-0.078784,0.38346,-0.28795,-0.079045,0.47028,0.34008,0.090046,-0.097227,0.71825,0.26285,0,0
0.17037,0.4228,0.79686,0.44958,0.21535,0.40752,0.57654,-0.25161,0.78988,0.18115,-0.15136,1.0806,-0.87901,-0.49872,-1.0969,0,0
0.85808,1.2484,0.78056,0.53178,0.49561,0.8922,0.64384,0.13792,0.67927,0.44285,0.85051,-0.20741,0.02105,0.21737,-0.067285,0,0
0.57333,0.33571,0.047257,-0.016156,0.4849,0.14267,0.71349,0.014147,0.42094,-0.26757,0.45023,0.044049,0.41323,0.88354,0.63842,0,0
0.11886,0.065242,-0.025577,0.37993,-0.046476,0.025564,-0.031321,-0.13925,0.47768,0.41155,0.47615,0.26552,-0.18876,-0.57207,-0.18715,0,0
0.35736,0.28925,0.018288,0.1703,0.39245,-0.28366,0.10854,-0.22726,0.17625,-0.10569,0.01478,0.087128,-0.19756,-0.59933,-0.84239,0,1
-0.42421,-0.33273,-0.17196,-0.53742,-0.85672,-0.32056,-0.84327,-0.31365,-0.018142,-0.81278,-0.65164,-0.26525,-0.66507,-1.0449,-0.2755,0,1
0.12896,0.47721,-0.030882,0.083489,0.10018,0.67932,-0.14304,0.076497,-0.036959,0.37694,-0.10973,0.25198,-0.19946,-0.3966,0.081522,1,0
0.65071,0.65245,0.1489,0.28493,0.30394,0.28976,-0.13645,0.14339,0.058242,-0.040575,0.65477,0.45043,0.52028,0.1064,0.7308,0,0
-0.35249,-0.07182,-0.66681,-0.075728,-0.58106,0.2101,-0.48381,0.10882,-0.23254,-0.05884,-0.23654,0.043944,-0.45059,0.069767,-0.78129,0,0
0.027793,0.2442,-0.10273,0.079034,0.22318,0.092383,0.25422,0.50602,0.014439,0.45252,0.56582,0.33693,0.5048,0.98287,0.98479,0,0
-0.40708,-0.20328,-0.58786,-0.17314,-0.56555,-0.39248,-0.5511,-0.22599,-1.4329,-0.34524,-0.64191,-0.29718,-1.5619,-0.55831,-0.87971,0,0
-0.096983,0.43842,0.11007,0.30778,1.1881,1.0836,-0.11334,0.48781,0.22429,0.65405,0.69963,-0.24051,0.95182,1.3627,3.5408,0,0
0.21843,-0.12916,0.15549,-0.07756,0.041103,-0.03127,-0.50015,-1.1203,0.1664,-0.7006,0.010547,0.16997,-0.75825,-1.1698,-0.13964,0,1
1.4419e-15,-2.3041e-16,-3.3297e-15,7.373e-15,-3.6047e-16,4.9779e-15,-1.1149e-14,7.1946e-15,1.1149e-15,1.0227e-14,4.1204e-15,-5.5743e-15,2.0216e-15,1.0049e-14,-1.5497e-14,0,1
-1.3289e-14,-1.297e-14,-1.0383e-14,-1.2925e-14,4.7939e-16,-1.8228e-15,7.5105e-15,-4.8311e-15,-1.0736e-14,-1.5489e-14,-1.7162e-14,-4.8608e-15,-3.1662e-15,4.6527e-15,4.5487e-15,1,0
-0.65755,-0.69939,-0.60551,-0.47414,-0.37165,-0.024644,0.2953,-0.33028,-0.3304,-0.4808,-0.54919,0.63127,-0.47417,-0.45764,0.75868,0,0
0.45623,0.37193,0.10866,0.40114,-0.076274,0.17106,0.36297,0.43854,-0.10509,0.31539,0.66054,0.60586,0.49272,0.74271,-1.0015,0,0
-0.32798,-0.22963,-0.33839,-0.51976,0.30528,0.17683,-0.1777,-0.427,-0.33068,-0.49181,-0.14008,0.20183,-0.11498,-0.2996,0.20649,0,0
-0.24754,-0.16715,-0.31276,-0.4447,-0.55517,-0.36346,-0.52464,-0.10559,-0.67614,-0.3083,-0.24977,-0.085195,0.36401,-0.23133,1.0066,0,0
0.28432,0.26109,0.060827,0.15571,-0.51367,-0.62977,-0.45729,-0.31851,-0.16156,-0.072435,0.1767,0.20819,0.61537,0.079736,-0.48312,0,0
-0.069156,-0.44433,-0.23484,-0.32012,0.33717,0.25648,-0.78198,-0.31761,-0.29781,-0.56075,0.19448,-0.1344,-0.088881,-0.41272,0.48604,0,0
-0.35553,-0.40584,-0.72127,-0.43511,0.21242,0.18417,-1.0096,0.035507,-0.3648,-0.51096,-0.69648,-0.71186,-0.18622,-0.19069,0.067326,0,0
-0.26736,-0.43196,-0.37114,-0.22708,-0.54236,-0.59332,0.022285,-0.15326,-0.29875,-0.0045428,-0.12817,-0.39553,-0.098951,-0.51004,-0.78013,0,0
-0.0026542,-0.32305,-0.25298,-0.2582,-0.29065,-0.49146,-0.54733,-0.12181,0.08954,-0.45433,-0.27645,-1.0342,-0.20578,-0.70798,-2.6031,0,0
0.14687,-0.12958,0.2181,0.32225,-0.059729,0.35538,-0.26772,0.60024,0.41231,0.41965,0.29913,-0.15615,0.12859,0.6679,-0.17613,0,0
-0.50618,-0.84093,-0.33028,-0.752,-0.53625,-0.55638,-0.7027,-0.29556,-0.41646,-0.75606,-0.86935,-0.72979,-0.21386,-0.99212,-1.0229,0,1
0.85391,1.0986,0.5404,1.8991,0.33359,0.98987,0.17966,2.1607,0.22443,2.0903,1.1437,0.80999,0.57378,2.434,1.961,0,1
-0.36883,-0.33458,-0.34146,0.63331,-0.83525,-0.20726,-0.58989,0.72562,-0.34244,0.89241,0.11714,-0.74695,-0.51735,0.037187,-1.2055,0,1
0.19726,-0.083273,0.48952,0.22454,0.47509,0.10306,0.098411,0.43541,0.1629,0.058874,-0.16544,0.068966,0.54691,0.11025,0.43777,1,0
0.32088,0.11922,-0.32262,0.28478,-0.09621,0.034202,-0.24352,0.29814,-0.63799,0.57118,0.070672,0.59663,-0.3294,0.40962,-1.247,0,0
0.3532,0.2516,0.80432,0.38097,0.39588,0.014895,0.69907,0.67774,1.0246,0.29828,0.47579,0.23562,1.6365,0.79944,1.1562,0,0
-0.58924,-0.81819,-0.53561,-0.20956,-0.38802,-0.63024,-0.38636,0.12105,-0.72898,-0.12859,-0.50683,-0.31095,-0.022471,0.34445,0.70078,0,0
-0.074371,-0.20133,0.49165,0.22571,0.064746,0.27449,0.23351,0.37795,0.33996,0.28173,0.11355,-0.092198,0.55627,-0.26347,0.50073,0,0
-0.35128,-0.0041505,-0.21032,-0.075655,-0.06964,0.084224,-0.3004,0.15426,-0.61121,-0.0041708,-0.48512,-0.60582,-0.75488,0.091125,0.42868,0,0
-0.34408,-0.060487,0.027549,-0.22073,-0.12539,0.066681,0.025374,-0.1077,0.046614,-0.21352,-0.36508,-0.70805,-0.27325,-0.27427,0.17192,0,0
-0.059005,0.014657,-0.33665,-0.27189,-0.14062,-0.49701,0.10291,-0.082582,-0.06239,0.26141,-0.052814,-0.60617,-0.43277,0.30892,-0.79843,0,0
-0.37674,-0.42489,0.24629,0.17997,-0.14031,-0.26399,0.44008,0.10329,0.51229,0.25625,-0.31142,-0.24312,0.12402,0.16501,0.1975,0,1
0.065047,0.070976,0.58317,0.2414,-0.030784,0.036477,0.28727,0.51328,0.32197,0.56679,-0.14218,-0.067935,0.0088596,0.85816,0.77223,1,0
0.1654,0.18331,0.3822,0.12576,-0.18043,-0.59656,1.1088,-0.39281,0.16424,-0.16161,-0.12952,0.52873,0.44021,-0.02559,-0.20298,0,0
0.35376,0.23944,-0.079846,0.4285,0.68643,0.19761,0.82249,0.89186,-0.21881,0.94391,0.39915,0.40409,0.57682,1.9908,0.7232,0,0
0.020474,-0.80819,0.049475,-1.9905,-0.20779,-1.4822,-0.26963,-3.4496,0.3399,-2.3419,-0.30442,0.24694,-0.27145,-3.6446,-1.6302,0,0
0.31247,-0.11959,0.69173,-0.65615,0.48985,-0.17158,1.5226,-0.56021,0.98248,-0.97599,0.38307,0.55823,1.1001,-0.16521,0.90011,0,0
-0.60822,-0.21289,-0.093244,-0.44653,-0.017157,-0.024561,0.53729,-0.72365,-0.43355,-0.34887,-0.53258,0.23352,-0.072249,-0.5582,-0.22192,0,0
0.32893,0.18482,0.24077,-0.4448,0.6244,-0.011275,0.53671,-0.76504,0.5438,-0.028929,-0.042789,-0.25559,-0.55307,-0.78852,-0.83178,0,0
-0.096614,0.13308,-0.33437,-0.22242,0.28722,-0.087857,-0.108,-0.10737,-0.42837,-0.19254,-0.49812,-0.65521,-0.4038,0.35396,0.71647,0,0
2.1257e-15,1.0086e-14,2.4081e-15,6.377e-15,4.6081e-15,9.8703e-15,7.8041e-15,4.8162e-15,1.9919e-15,8.8149e-15,2.6757e-15,9.573e-15,-8.7108e-15,6.3325e-15,3.5676e-15,0,0
0.48533,0.71073,0.050871,-0.24244,0.79297,0.61569,0.0076936,0.37785,-0.3367,-0.55664,0.076434,-0.44086,-0.48042,0.3456,1.7044,0,0
-0.69881,-0.03676,-0.19074,0.12369,-0.023788,0.17858,-0.018462,-0.21625,-0.40997,0.12401,-0.33255,0.316,-0.62672,0.10567,0.26018,0,0
0.79742,0.57886,0.78743,0.34788,0.70404,0.72721,1.0522,0.4815,0.92708,0.31952,0.79896,0.47759,1.7398,0.70326,0.11562,0,0
0.18957,0.12879,0.20684,0.47362,0.1508,0.051141,0.20737,0.26596,0.17593,0.35427,0.25996,0.54534,0.50461,0.31592,-0.16091,0,0
0.28173,-0.15264,0.057524,-0.12453,0.091824,0.16389,0.26655,0.0098861,0.26966,-0.12673,0.36646,-0.03069,0.57808,-0.27129,-0.39681,0,0
-0.64355,-0.72446,-0.53973,-0.71229,-0.96499,-0.62313,-0.39592,-0.30375,-0.69692,-0.84619,-0.63609,-0.4361,-0.41696,-0.87169,-1.211,0,1
0.13325,-0.020222,0.43305,-0.026712,-0.34858,-0.2893,0.11116,0.22015,0.26827,-0.13711,-0.16676,-0.17572,0.75508,-0.29103,-0.16378,1,0
-0.072451,-0.18198,-0.21975,-0.4753,-0.39521,0.14548,-0.090893,0.15175,-0.37557,-0.48626,-0.048417,-0.41281,-0.2568,-0.45605,-0.6031,1,0
0.32519,0.27034,0.66818,0.032309,-0.11314,0.073251,-0.2632,0.0049966,0.77381,-0.22119,0.41073,-0.11594,-0.26905,-0.05876,-0.44766,0,0
0.17609,0.12181,0.17647,0.30706,-0.10516,0.070348,-0.57474,-0.10189,0.73403,0.014552,0.35538,-0.21063,0.30312,0.19777,0.13129,0,1
0.30365,0.54075,0.31139,0.27724,0.86,0.7248,0.64679,0.65085,0.79439,0.35226,0.34117,-0.087104,0.8367,0.45774,0.89256,0,1
-0.12264,-0.17157,-0.10734,0.083062,-0.41516,-0.0049881,-0.85242,-0.48971,-0.25351,0.039094,-0.29444,0.75072,-0.71696,-0.79795,-0.39878,0,1
0.49171,0.33854,0.77378,0.52945,0.72395,0.69896,1.2564,-0.038741,1.0415,0.31987,0.87565,0.85394,0.90571,-0.045681,0.56184,1,0
-0.69307,-0.22228,-1.1466,-0.21985,-0.98573,-0.48064,-1.469,0.092569,-1.4616,0.28781,-0.64811,0.19012,-2.1585,0.52754,-1.2968,1,0
