"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.38015,-0.017461,-0.18818,0.42503,-0.023098,0.27613,0.06797,-0.18958,0.017634,0.42076,0.19253,0.1426,-0.036822,0.11739,0.053658,0,0
-0.046763,0.14066,-0.048174,-0.089949,0.77143,0.1817,-0.44454,-0.20744,-0.08858,-0.099399,0.23244,-0.08081,0.15193,0.2975,0.58547,0,0
0.049982,0.34605,0.07884,-0.054461,0.19034,0.01507,-0.48019,-0.90908,-0.02707,-0.15768,0.024026,0.75088,-0.13746,-0.11082,0.61375,0,0
0.24102,0.49576,0.18061,0.071509,0.22416,0.20267,0.31883,0.15273,0.16044,0.029788,-0.0067418,0.79726,0.25126,0.11863,0.18945,0,0
-0.08705,-0.26034,0.06638,-0.10324,0.1762,0.19072,0.47327,0.26154,-0.040921,-0.18083,-0.042913,0.23082,-0.15754,-0.03443,-0.32725,0,1
-0.11966,-0.31869,0.22207,0.14652,0.46562,0.50586,0.10177,0.12182,0.21305,0.17409,-0.18155,-0.11695,0.42365,0.21109,0.028118,0,1
0.24044,-0.12051,0.45262,0.23692,0.16904,-0.0052076,0.51929,0.29754,0.5107,0.25555,-0.14657,-0.021784,0.44639,0.46576,0.84,1,0
0.35237,0.17835,0.44847,0.48065,0.54139,0.18334,0.27196,0.4896,0.63078,0.46781,-0.01771,-0.1686,0.26706,0.21822,0.12945,0,0
-0.10911,-0.18543,-0.074319,0.017283,-0.31782,-0.27193,-0.38979,0.22503,0.087845,0.10317,0.087299,-0.080252,-0.19652,-0.18067,-0.45394,0,0
-0.034219,-0.0654,-0.16951,-0.44497,-0.17391,-0.31899,-0.041875,0.1411,0.019911,-0.26075,0.199,0.066122,-0.010919,-0.22633,-0.19979,0,0
-0.090306,0.13205,0.018503,-0.005075,0.067392,0.10008,-0.22067,-0.14763,-0.18784,-0.14886,-0.12595,-0.055143,-0.10009,0.013687,-0.32556,0,0
0.058996,0.059944,-0.074239,-0.046557,0.014305,0.060785,0.19987,-0.09436,-0.34024,-0.12136,0.006413,-0.4258,-0.046824,-0.0077728,-0.13107,0,0
0.083031,-0.044517,0.14147,-0.035335,0.18507,0.15789,0.27211,0.20697,0.37179,0.031899,-0.22142,-0.4711,0.03103,-0.27851,-0.37871,0,0
-0.12577,-0.3578,-0.3056,-0.18915,-0.32952,-0.18472,-0.82073,-0.20779,-0.24454,-0.23441,-0.035049,-0.39721,-0.19249,-0.36796,-0.32653,0,0
-0.031154,0.15873,-0.073502,-0.042179,0.066742,0.13812,-0.081062,-0.062871,-0.094859,-0.028176,0.078618,-0.045285,0.12401,-0.043366,0.11797,0,0
0.091919,-0.23178,0.18848,0.027375,-0.073892,-0.38216,0.54276,-0.27563,0.1418,0.17741,-0.20516,-0.11007,0.299,0.034281,-0.17595,0,0
0.41522,0.53506,0.33078,0.19546,-0.072566,-0.17575,0.47057,0.10891,0.54487,0.35532,0.39997,0.18868,0.73221,0.45672,0.36303,0,0
0.17664,0.1438,0.07566,0.1027,-0.22173,-0.079832,0.02181,0.32764,-0.010529,-0.17953,0.24714,-0.14602,0.081793,-0.23526,-0.36027,0,0
0.14296,0.29378,-0.040837,0.36661,0.18964,0.80353,-0.20714,0.16566,-0.082176,0.26479,0.41378,-0.19262,-0.1479,0.52145,0.084125,0,0
-0.37193,-0.60635,-0.28526,-0.27415,-0.503,-0.25136,-0.041831,-0.30672,-0.29375,-0.10622,0.17886,0.04003,-0.27526,0.042989,-0.18813,0,0
-0.087223,-0.25081,-0.17757,-0.22026,-0.26578,-0.19155,0.6726,0.30634,-0.052457,-0.024035,-0.27035,0.68509,0.0038779,0.22177,0.39637,0,0
0.14954,0.12988,0.23754,0.23565,-0.087313,-0.064573,0.21332,0.21445,0.24351,0.01319,-0.32061,0.043477,0.070961,-0.19606,-0.24115,0,0
-0.15034,-0.17735,-0.10072,0.090183,-0.0040391,0.18655,-0.58181,-0.42573,-0.44094,0.028234,-0.1576,-0.45071,-0.39055,-0.08307,-0.33458,0,0
0.18876,0.072986,-0.063316,-0.36384,-0.089432,-0.092193,-0.31755,0.35386,-0.057633,-0.04374,0.31301,-0.31505,0.2102,0.5074,0.26859,0,0
-0.31049,-0.083965,-0.56953,-0.053486,-0.52732,-0.23007,-0.18326,-0.20644,-0.50783,-0.01298,-0.071698,0.0073125,-0.55851,-0.32856,-0.39999,0,0
-0.08493,-0.14855,-0.17285,-0.32073,-0.13067,-0.28024,0.077431,-0.18949,-0.15345,-0.2279,-0.138,0.10822,0.14514,0.040658,0.19519,0,0
0.20503,0.13932,-0.070618,0.13274,0.1155,0.18402,0.086596,0.14501,-0.17933,0.091003,0.007322,-0.35029,-0.24691,0.093379,0.26497,0,0
-0.36947,-0.090173,-0.14446,0.16153,-0.76651,-0.40702,-0.54707,-0.6048,-0.26517,-0.14379,-0.63017,0.20267,-1.3463,-1.4028,-1.0144,0,0
0.3775,0.56238,-0.036907,-0.090085,-0.20906,-0.31837,-0.7824,-1.2178,-0.029417,0.11808,0.071657,0.97342,-0.87084,-0.58696,-0.47985,0,0
-0.15746,-0.29173,-0.87826,-0.56549,-0.52271,-0.52643,-0.81072,-0.25907,-1.4081,-0.48509,0.22178,0.67507,-1.1542,-0.51612,-0.51036,0,0
