"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.063175,-0.2299,0.029575,-0.13438,0.27008,0.50289,0.17395,-0.057291,0.41547,0.032313,0.01175,-0.020353,0.53626,0.52499,0.68745,0,0
0.023419,0.21512,-0.027511,0.10464,0.14531,0.22303,0.10512,0.13744,0.097684,0.13502,0.20401,0.0035333,0.56307,0.66272,0.72414,0,0
0.30267,0.0068203,0.11207,-0.14162,0.31773,0.22276,0.30318,0.038663,0.1641,-0.19193,0.27077,0.30646,0.75666,0.21933,0.51382,0,0
0.60577,0.56388,0.47771,0.47994,0.48778,0.43006,0.35425,0.59029,0.48687,0.55159,0.39837,0.30689,0.3048,0.26006,0.28206,0,0
0.10343,-0.035589,-0.1156,-0.41782,-0.32055,-0.25002,0.4664,-0.029357,0.29101,-0.37964,0.28823,0.27021,0.23392,-0.14149,0.22352,0,1
0.16215,-0.17373,0.19117,-0.11558,0.0019151,-0.22373,0.20096,0.0080173,0.33852,0.12848,0.2097,0.56079,0.044824,-0.41956,-0.25281,0,1
2.7444e-15,4.5189e-15,5.0476e-15,5.2139e-15,-4.8868e-16,-3.2777e-15,7.8041e-16,2.4081e-15,5.0819e-16,9.9223e-15,2.5865e-15,1.1621e-14,-1.2717e-14,2.9302e-15,-7.2764e-15,1,0
0.040761,0.3847,-0.035985,-0.071662,-0.075883,-0.3216,0.17753,-0.32846,0.036646,-0.44847,0.2821,0.27549,0.37008,0.10396,0.26892,0,0
0.35264,0.097027,0.28174,0.078021,-0.086413,-0.2592,-0.43653,-0.31859,0.22717,-0.20776,0.21062,0.10681,0.21591,0.15266,0.045054,0,0
0.069648,0.0029647,0.25416,-0.08645,0.16697,0.039487,0.22249,-0.084614,-0.043594,0.015928,0.11207,0.46708,0.20753,0.14494,0.080417,0,0
-0.024388,-0.042578,0.11499,0.07335,-0.003297,-0.13028,0.025453,0.24075,-0.053044,-0.043678,-0.020242,-0.087288,-0.13726,0.19782,-0.21556,0,0
0.29903,-0.03494,0.26314,0.015012,0.37898,0.16064,0.65464,0.40707,0.21686,0.1906,0.27456,0.1692,0.27506,0.034617,0.019493,0,0
-0.13667,-0.14326,-0.18305,-0.095827,-0.59175,-0.2683,-0.42714,0.016825,-0.32124,-0.2054,-0.13561,-0.35429,-0.36657,-0.22853,-0.17821,0,0
-0.32312,-0.14711,-0.28551,-0.078109,-0.23285,0.22076,0.045755,0.0045508,-0.22172,-0.0090088,-0.41816,-0.49555,-0.29466,-0.0034348,-0.35996,0,0
-0.29755,-0.29714,-0.49468,-0.33921,-0.27863,-0.25088,-0.48345,-0.24333,-0.3531,-0.27082,-0.40328,-0.50136,-0.24953,-0.31027,-0.27429,0,0
-0.66652,-0.33356,-0.39589,-0.2559,-0.34229,-0.20746,-0.28651,-0.42842,-0.51757,-0.28916,-0.54624,-0.74118,-0.5849,-0.21251,-0.49455,0,0
-0.049198,0.024961,0.15541,0.1529,-0.15856,0.18166,0.37288,0.35716,0.37211,0.36408,-0.11371,-0.237,0.035606,-0.012242,-0.058008,0,0
-0.097548,0.089951,-0.098179,0.225,-0.28323,-0.11235,-0.35091,0.062758,-0.34555,0.081021,-0.10954,-0.059369,-0.55363,-0.17617,-0.63816,0,0
0.067401,0.21815,-0.12296,0.034689,0.23895,0.50393,-0.037282,-0.061986,-0.024623,-0.02616,-0.096038,0.15769,-0.10408,-0.19685,-0.27324,0,0
-0.0012176,-0.073684,0.055336,0.031881,-0.3648,-0.47051,-0.20014,0.043886,-0.27455,0.060303,-0.25678,-0.35923,-0.47021,-0.38635,-0.57585,0,0
-0.034065,-0.18641,0.112,0.13975,-0.16779,-0.30688,0.23118,-0.058789,0.012412,0.21797,-0.099995,-0.053019,-0.50582,-0.68529,-0.55417,0,0
-0.27481,-0.32629,-0.21401,0.04971,0.12411,-0.16103,0.015796,-0.1401,-0.16622,0.31422,-0.010191,0.036672,-0.34634,-0.035882,0.0044691,0,0
-0.3319,-0.2601,0.12629,-0.0408,0.0010158,-0.16877,-0.093756,0.044614,-0.28673,0.064013,-0.16849,-0.50751,-0.22035,-0.23352,-0.20228,0,0
0.23506,0.034483,-0.3464,0.12995,-0.010832,-0.23143,-0.34947,0.060228,-0.30553,0.27154,-0.28234,-0.55694,-0.037545,-0.1956,-0.17759,0,0
-0.268,-0.33663,-0.30534,-0.10837,-0.1449,-0.36193,-0.38389,-0.20491,-0.55507,-0.28237,-0.49521,-0.44164,-0.22097,0.10909,-0.20669,0,0
0.0016835,0.17168,-0.18158,-0.050604,-0.082256,0.26557,0.087389,-0.16235,0.12553,-0.061173,-0.0021178,-0.061889,-0.036455,-0.39933,-0.046743,0,0
-0.18234,0.094841,-0.32781,-0.15895,-0.06326,0.12721,0.088994,0.0085385,-0.024824,0.012566,-0.1179,-0.17046,-0.4791,0.091363,0.10437,0,0
-0.27767,-0.17312,-0.29595,-0.19227,0.15213,0.16837,-0.20338,-0.14641,-0.15903,-0.30989,-0.22196,-0.040738,-0.62751,-0.14649,0.0034691,0,0
-0.15882,0.13995,-0.12841,0.1442,0.454,0.50456,-0.23224,0.24358,-0.38597,-0.061897,0.040759,-0.18721,0.066648,0.51068,0.55278,0,0
-0.24713,-0.11835,-0.28581,0.16832,-0.36367,-0.11701,-0.35122,0.031879,-0.31519,0.22337,0.00963,0.14767,-0.16391,-0.0015344,-0.17888,0,0
-0.079078,-0.16058,0.048771,-0.03726,-0.33059,-0.23602,-0.46726,0.20501,-0.091748,0.16074,0.24313,0.36343,0.024795,0.13652,0.084092,0,0
-0.00030843,0.27228,-0.023462,0.20712,-0.027807,-0.0037287,-0.32359,-0.10887,-0.12369,0.26121,0.060774,0.29158,-0.35453,-0.11804,-0.16089,0,0
0.10146,0.19949,0.0061622,0.020264,0.028469,-0.15739,-0.25921,0.013693,0.0038956,0.096244,0.078756,-0.23065,0.081651,0.052504,0.11471,0,0
