"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.38539,-0.4247,-0.15555,-0.43153,-0.98772,-0.91741,-0.16175,-0.49966,0.10849,0.014576,0.28549,0.064704,0.091082,0.14189,-0.10004,0,0
-0.24695,-0.65818,0.26147,-0.11926,-0.21309,-0.27835,0.71721,0.0019428,0.56821,0.24234,0.18825,-0.48128,0.15435,-0.27469,-0.27657,0,0
-0.20456,-0.023953,-0.030188,-0.19401,0.89315,0.86468,-0.41445,0.082772,0.22385,-0.23258,0.091521,-1.3957,0.41838,0.20063,0.39323,0,0
-0.045394,-0.10226,0.13945,-0.097144,0.37962,0.44054,0.821,0.47892,0.2918,0.1713,-0.1576,-0.86717,0.82377,0.67097,0.51035,0,0
0.25283,0.24696,0.097439,-0.18796,-0.23924,0.45835,0.0089998,-0.99163,0.45603,-0.21829,-0.13396,-0.99812,0.70579,0.66066,0.5576,0,1
-0.5224,-0.24188,-0.91379,-0.29241,-0.063852,-0.037273,0.097212,-0.044902,-0.98224,-0.5546,-0.68012,-0.76387,-0.0099207,0.033192,0.13798,0,1
0.14618,0.42122,0.1562,-0.062916,0.032513,0.046196,0.37837,0.1558,-0.077846,-0.32687,-0.13474,0.48977,0.10878,0.25138,0.20487,1,0
0.012918,-0.053865,0.2244,0.012379,-0.15436,0.15034,0.16384,-0.50429,0.21826,0.00060268,-0.29872,-0.32626,0.40021,0.12043,0.4591,0,0
0.35489,-0.039604,0.79652,-0.17218,0.31502,0.077615,1.3235,0.86824,0.67193,-0.78073,-0.18013,-0.48933,-0.23511,-0.75265,-1.6706,0,0
-1.3839e-14,-3.5682e-14,-2.3041e-14,-2.5107e-14,-4.8088e-15,-3.6752e-14,-1.76e-14,-1.2576e-14,-1.757e-14,-2.5092e-14,1.9324e-16,-4.0239e-14,-2.0952e-14,-2.5003e-14,-3.0205e-14,0,0
2.8555e-14,3.4401e-14,1.4896e-14,3.9383e-14,1.9251e-14,3.0546e-14,1.3784e-14,5.0897e-14,1.5265e-14,4.872e-14,2.418e-14,2.6899e-14,1.7829e-14,4.6493e-14,3.5652e-14,0,0
3.7687e-15,-1.1159e-16,3.4775e-15,7.5238e-15,3.2348e-15,2.72e-15,3.9775e-15,-6.3914e-15,7.3723e-15,3.3572e-15,8.9469e-16,-7.8505e-17,-4.663e-15,-5.0819e-15,-2.073e-14,0,0
-0.51329,-0.83673,-0.37669,-0.93695,-0.31454,-0.5134,-0.12983,-0.99877,-0.26725,-0.90064,-0.6329,0.12289,0.17252,-0.64604,0.34299,0,0
0.37082,0.58908,0.25178,0.65377,0.41682,0.092647,0.0017802,0.31709,-0.26029,0.59822,0.41371,0.30631,-0.25219,0.74064,-0.030709,0,0
0.059656,-0.029477,0.36941,0.72032,0.51715,0.33567,0.20656,1.2275,0.27406,0.53256,-0.3969,0.9219,0.32335,0.28916,0.13654,0,0
