"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.16788,0.23539,-0.52324,-0.023083,-0.12067,0.35586,-0.48046,0.23299,-0.21688,0.14666,0.20072,0.33625,-0.29366,0.81407,0.073985,0,0
-0.20085,0.09223,0.027745,0.40024,0.39444,0.5711,0.26363,1.043,0.13353,0.46109,-0.30375,-0.014558,-0.36701,0.508,0.33379,0,0
0.36939,0.27429,0.82482,0.24881,0.0073001,0.13215,0.32498,0.57276,0.54509,0.30628,0.38962,-0.04325,0.89566,1.6108,0.43453,0,0
0.13458,-0.71925,-0.43772,-0.57329,-0.32715,-0.62169,-1.0811,-0.69363,-0.50128,-0.6886,0.089788,0.29453,0.1773,-0.77693,0.29101,0,0
-0.0047495,-0.38138,-0.032078,0.27393,-0.84845,-1.0767,-0.79261,0.020469,-0.34116,0.13581,-0.1643,0.32496,-0.81465,-1.2931,-1.9496,0,1
-0.063192,0.1298,-0.22162,0.65794,0.30914,0.55536,0.013271,0.27229,-0.86074,0.17056,0.12685,-0.57848,-1.0072,0.33343,0.099901,0,1
-0.50674,-0.41242,-0.12157,-0.47648,0.42247,0.33679,-0.1982,-1.1556,-0.035861,-0.3052,-0.577,-0.047008,-0.11331,0.2307,1.4496,1,0
-0.077994,-0.48009,0.13239,-0.51296,-0.50902,-0.29481,-0.30217,-0.54002,0.15159,-0.47654,-0.18753,-0.14808,0.7579,-0.11071,0.61811,0,0
-0.07263,-0.27764,0.14729,-0.44902,-0.44743,-1.0519,-0.14801,-1.2217,0.53135,-0.32438,0.019303,0.19148,0.63613,-1.3198,-0.6088,0,0
0.5683,0.57917,0.40699,0.63846,0.40518,0.57032,0.036282,0.034854,0.18026,-0.23027,0.70121,0.47997,0.020384,-0.21064,0.29878,0,0
-3.7066e-15,-5.7376e-15,1.0542e-14,7.332e-15,-1.6334e-14,-1.0965e-14,-2.434e-15,3.3464e-15,8.8937e-15,9.3524e-15,-6.1613e-15,2.3819e-14,-3.7932e-15,-1.769e-15,6.2686e-15,0,0
-1.2666e-14,-2.4258e-14,-1.7466e-14,-1.6068e-14,-1.1789e-14,-1.9382e-14,-2.0681e-14,-5.3923e-15,-1.5029e-14,-1.2689e-14,-1.9377e-14,1.8833e-14,-7.5756e-15,-1.4157e-14,6.4879e-15,0,0
-7.5857e-15,-2.4598e-14,3.8703e-15,-1.2593e-14,-2.6474e-14,-3.4594e-14,-1.1932e-14,-1.2049e-14,1.3464e-15,-1.7198e-14,-1.4705e-14,4.1339e-14,-8.1978e-15,-2.9364e-14,-1.8564e-14,0,0
-1.1098e-14,-6.9831e-15,-8.073e-16,-1.585e-14,-7.5594e-15,-9.9639e-15,1.0323e-14,-1.2281e-14,-1.0099e-14,-2.088e-14,-1.5312e-14,1.2928e-15,-2.6342e-14,-2.3017e-14,-3.028e-14,0,0
5.3514e-15,1.5578e-14,1.3378e-16,1.4508e-14,8.1051e-15,1.8908e-14,5.2324e-15,5.2919e-15,5.5595e-15,1.3587e-14,1.9443e-14,2.0811e-16,7.9725e-15,2.5924e-14,4.6468e-14,0,0
-0.48624,-0.6469,0.14996,-0.37192,0.061314,-0.29339,0.92031,0.59841,0.33551,-0.058316,-0.75077,-0.31465,-0.0023457,-1.4214,-0.37646,0,0
0.14109,-0.18401,-0.54375,-0.39008,0.30893,0.3177,0.99261,0.13239,-0.29874,-0.094375,-0.13508,0.13726,-0.046508,0.90226,0.11367,0,0
-0.45915,-0.20367,0.68449,-0.4135,0.19676,0.1246,1.1874,-0.46663,1.1575,-0.41182,-0.22988,0.13527,0.35652,-1.013,-1.2312,0,0
0.37456,0.3255,0.33081,-0.033818,0.12343,0.087126,0.49259,0.48494,0.18368,-0.06725,0.77117,0.36119,0.77755,1.4666,1.5183,0,0
0.00099632,0.31385,0.11369,-0.20064,-0.36131,-0.42764,0.2415,-0.22159,0.17438,-0.45086,-0.21737,-0.13209,-0.3195,-1.0936,-0.86179,0,0
-0.17009,-0.028373,-0.24194,-0.39241,-0.22815,-0.03356,-0.25037,0.1665,-0.061451,-0.42063,-0.30894,-0.14347,-0.33807,-0.41866,-0.13871,0,0
-0.18195,0.12631,0.17364,-0.12267,0.19266,-0.30717,0.72129,0.71906,0.77357,0.23133,0.049896,-0.19621,0.24964,-0.2137,-0.56853,0,0
0.50328,0.31667,0.213,-0.054565,-0.3444,0.029661,-0.16249,-0.33787,0.37441,-0.16761,0.32972,-0.10731,0.61468,-0.051687,0.38002,0,0
-0.35576,0.17129,-0.27993,-0.4276,-0.2445,-0.36325,0.15113,-0.031273,-0.53874,-0.66691,-0.27579,-0.12126,-0.29139,-0.74352,-0.94947,0,0
0.28701,0.233,0.036273,-0.078214,0.171,0.13367,-0.22353,-0.027282,0.099184,0.14193,0.026632,0.035714,0.55453,0.5073,0.48915,0,0
-0.41251,0.17142,0.19751,-0.030263,0.31206,0.23933,0.44082,-0.047939,0.29959,-0.34481,-0.14045,-0.095679,-0.41391,-1.0734,-0.2558,0,0
0.49592,0.035261,0.50674,-0.00061858,0.28101,-0.69155,-0.9913,-2.0752,0.38816,0.17023,-0.88469,-0.46102,-0.099843,-0.68181,-3.0499,0,0
